observation_year,station_count,avg_tmax_c
1990,2595,9.8
1991,2571,9.81
1992,2579,9.25
1993,2578,9.27
1994,2539,9.51
1995,2441,9.03
1996,2364,7.93
1997,2287,8.98
1998,2248,10.6
1999,2225,9.95
2000,2223,8.84
2001,2188,9.85
2002,2159,8.73
2003,2105,9.09
2004,2159,8.64
2005,2071,9.29
2006,2013,9.86
2007,1930,8.92
2008,1861,8.54
2009,1700,8.49
2010,1729,9.56
2011,1711,9.03
2012,1595,9.43
2013,1702,8.47
2014,1781,8.24
2015,1865,9.47
2016,1917,9.77
2017,1875,9.5
2018,1832,8.38
2019,1817,8.18
2020,1848,9.11
2021,1921,9.58
2022,1882,8.74
2023,1816,10.05
2024,1782,2.39
2025,1299,8.41
2026,1151,8.33
